,,,,,,,,,,,,,,,
 ESSID,BSSID, Power, channel,, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
,BA:EC:C8:47:C6:ED,,-70,,1, (not associated) ,,,,,,,,,
,AC:07:5F:BE:7A:BD,,-74,,4, 28:2C:B2:B5:48:DA,,,,,,,,,
,38:AF:29:89:80:9C,,-74,,24, (not associated) ,zj,,,,,,,,
,C6:B2:28:90:F9:0D,,-68,,1, (not associated) ,,,,,,,,,
,E2:EB:2D:7C:B9:ED,,-68,,1, (not associated) ,,,,,,,,,
,64:9A:BE:92:29:7F,,-66,,1, BC:D1:77:DC:C2:8E,,,,,,,,,
,82:B2:06:64:BA:6E,,-64,,2, (not associated) ,,,,,,,,,
,CE:54:83:22:B4:30,,-66,,1, (not associated) ,,,,,,,,,
,DE:D7:39:68:F1:FF,,-64,,2, (not associated) ,,,,,,,,,
,C6:14:1D:CE:BB:17,,-64,,1, (not associated) ,,,,,,,,,
,F0:6E:0B:DD:95:41,,-64,,2, 58:EF:68:C0:E4:D5,,,,,,,,,
,3C:2E:F9:11:1F:77,,-62,,1, 34:96:72:27:1C:9C,,,,,,,,,
,D0:FF:98:23:99:A8,,-62,,5, 34:96:72:26:47:BC,,,,,,,,,
,1C:DA:27:9C:A2:50,,-6,,30, 5C:63:BF:E2:BB:FA,,,,,,,,,
,30:07:4D:CA:09:F2,,-54,,4, (not associated) ,,,,,,,,,
,84:73:03:61:49:2E,,-38,,429, 78:44:FD:1B:0A:14,\xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G,,,,,,,,
,1C:C3:EB:5B:72:99,,-60,,71, 34:96:72:26:47:BC,,,,,,,,,
,E4:47:90:CA:D2:3D,,-1,,43, 78:44:FD:1B:0D:84,,,,,,,,,
,7C:76:68:F4:55:8E,,-1,,1, BC:54:FC:7F:5D:AB,,,,,,,,,
,00:EC:0A:80:05:1A,,-1,,11, 78:44:FD:1B:0A:14,,,,,,,,,
,B0:55:08:EF:19:40,,-68,,1, (not associated) ,,,,,,,,,
,34:2E:B6:A4:21:CB,,-1,,2, 78:44:FD:DD:04:5A,,,,,,,,,
,9C:B2:B2:87:B6:91,,-74,,2, A4:9B:4F:1E:78:30,,,,,,,,,
,60:21:01:40:59:A1,,-76,,3, 78:44:FD:1B:0D:84,DIRECT-3v-9xAAAAMTYwNy1BMDE,DIRECT-zA-9xAAAAMTYwNy1BMDE,,,,,,,
,2C:A9:F0:5C:32:79,,-60,,21, FC:D7:33:E7:1B:78,,,,,,,,,
,DA:A1:19:97:7C:A3,,-74,,1, (not associated) ,,,,,,,,,
,9C:0C:DF:EE:51:F1,,-74,,7, DC:71:37:2E:AA:07,,,,,,,,,
,10:4A:7D:A1:2A:57,,-18,,2, (not associated) ,,,,,,,,,
,94:D0:29:76:BB:BB,,-1,,5, 78:44:FD:1B:0D:84,,,,,,,,,
,9C:B2:B2:C9:84:3F,,-72,,1, B8:08:D7:71:D4:A8,,,,,,,,,
,2C:20:0B:2D:5F:A9,,-66,,6, FC:D7:33:E7:1B:78,\xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G1,,,,,,,,
,DA:A1:19:42:C6:82,,-38,,2, (not associated) ,,,,,,,,,
,2C:5B:B8:79:05:6C,,-76,,1, (not associated) ,,,,,,,,,
,4C:BB:58:76:01:F1,,-56,,1, (not associated) ,,,,,,,,,
,E4:9A:DC:2E:D0:D3,,-1,,1, 40:31:3C:0D:58:C5,,,,,,,,,
,C0:F4:E6:5A:55:27,,-66,,469, 78:44:FD:1B:0A:14,,,,,,,,,
